Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
5:1,61,-0.7387,15.2641,0.08390,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.8
5:2,62,-0.7621,15.2616,0.08414,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
5:3,63,-0.7856,15.2604,0.08439,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
5:4,64,-0.8089,15.2605,0.08464,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
5:5,65,-0.8322,15.2619,0.08490,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
5:6,66,-0.8554,15.2645,0.08516,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,19.0
5:7,67,-0.8785,15.2684,0.08543,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.2,19.0
5:8,68,-0.9015,15.2737,0.08570,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.0
5:9,69,-0.9243,15.2801,0.08597,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.1
5:10,70,-0.9471,15.2877,0.08625,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.1
5:11,71,-0.9697,15.2965,0.08653,12.7,13.2,13.4,14.0,14.5,15.3,16.2,16.8,17.8,18.3,19.1
6:0,72,-0.9921,15.3062,0.08682,12.7,13.2,13.4,14.0,14.5,15.3,16.3,16.8,17.9,18.3,19.2
6:1,73,-1.0144,15.3169,0.08711,12.7,13.2,13.4,14.0,14.5,15.3,16.3,16.8,17.9,18.3,19.2
6:2,74,-1.0365,15.3285,0.08741,12.7,13.2,13.4,14.1,14.5,15.3,16.3,16.9,17.9,18.4,19.3
6:3,75,-1.0584,15.3408,0.08771,12.8,13.2,13.4,14.1,14.5,15.3,16.3,16.9,17.9,18.4,19.3
6:4,76,-1.0801,15.3540,0.08802,12.8,13.2,13.4,14.1,14.5,15.4,16.3,16.9,18.0,18.4,19.4
6:5,77,-1.1017,15.3679,0.08833,12.8,13.2,13.4,14.1,14.5,15.4,16.3,16.9,18.0,18.5,19.4
6:6,78,-1.1230,15.3825,0.08865,12.8,13.2,13.4,14.1,14.5,15.4,16.4,16.9,18.0,18.5,19.4
6:7,79,-1.1441,15.3978,0.08898,12.8,13.2,13.4,14.1,14.5,15.4,16.4,17.0,18.1,18.5,19.5
6:8,80,-1.1649,15.4137,0.08931,12.8,13.2,13.5,14.1,14.5,15.4,16.4,17.0,18.1,18.6,19.6
6:9,81,-1.1856,15.4302,0.08964,12.8,13.2,13.5,14.1,14.6,15.4,16.4,17.0,18.1,18.6,19.6
6:10,82,-1.2060,15.4473,0.08998,12.8,13.2,13.5,14.1,14.6,15.4,16.5,17.1,18.2,18.7,19.7
6:11,83,-1.2261,15.4650,0.09033,12.8,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.2,18.7,19.7
7:0,84,-1.2460,15.4832,0.09068,12.8,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.3,18.8,19.8
7:1,85,-1.2656,15.5019,0.09103,12.9,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.3,18.8,19.8
7:2,86,-1.2849,15.5210,0.09139,12.9,13.3,13.5,14.2,14.6,15.5,16.6,17.2,18.3,18.8,19.9
7:3,87,-1.3040,15.5407,0.09176,12.9,13.3,13.5,14.2,14.6,15.5,16.6,17.2,18.4,18.9,20.0
7:4,88,-1.3228,15.5608,0.09213,12.9,13.3,13.6,14.2,14.7,15.6,16.6,17.2,18.4,18.9,20.0
7:5,89,-1.3414,15.5814,0.09251,12.9,13.3,13.6,14.2,14.7,15.6,16.6,17.3,18.5,19.0,20.1
7:6,90,-1.3596,15.6023,0.09289,12.9,13.3,13.6,14.3,14.7,15.6,16.7,17.3,18.5,19.0,20.2
7:7,91,-1.3776,15.6237,0.09327,12.9,13.4,13.6,14.3,14.7,15.6,16.7,17.3,18.6,19.1,20.2
7:8,92,-1.3953,15.6455,0.09366,12.9,13.4,13.6,14.3,14.7,15.6,16.7,17.4,18.6,19.2,20.3
7:9,93,-1.4126,15.6677,0.09406,12.9,13.4,13.6,14.3,14.7,15.7,16.7,17.4,18.7,19.2,20.4
7:10,94,-1.4297,15.6903,0.09445,13.0,13.4,13.6,14.3,14.8,15.7,16.8,17.4,18.7,19.3,20.4
7:11,95,-1.4464,15.7133,0.09486,13.0,13.4,13.7,14.3,14.8,15.7,16.8,17.5,18.8,19.3,20.5
8:0,96,-1.4629,15.7368,0.09526,13.0,13.4,13.7,14.4,14.8,15.7,16.8,17.5,18.8,19.4,20.6
8:1,97,-1.4790,15.7606,0.09567,13.0,13.4,13.7,14.4,14.8,15.8,16.9,17.5,18.9,19.4,20.6
8:2,98,-1.4947,15.7848,0.09609,13.0,13.5,13.7,14.4,14.8,15.8,16.9,17.6,18.9,19.5,20.7
8:3,99,-1.5101,15.8094,0.09651,13.0,13.5,13.7,14.4,14.9,15.8,16.9,17.6,19.0,19.5,20.8
8:4,100,-1.5252,15.8344,0.09693,13.0,13.5,13.7,14.4,14.9,15.8,17.0,17.7,19.0,19.6,20.9
8:5,101,-1.5399,15.8597,0.09735,13.1,13.5,13.7,14.4,14.9,15.9,17.0,17.7,19.1,19.7,21.0
8:6,102,-1.5542,15.8855,0.09778,13.1,13.5,13.8,14.5,14.9,15.9,17.0,17.7,19.1,19.7,21.0
8:7,103,-1.5681,15.9116,0.09821,13.1,13.5,13.8,14.5,14.9,15.9,17.1,17.8,19.2,19.8,21.1
8:8,104,-1.5817,15.9381,0.09864,13.1,13.5,13.8,14.5,15.0,15.9,17.1,17.8,19.2,19.9,21.2
8:9,105,-1.5948,15.9651,0.09907,13.1,13.6,13.8,14.5,15.0,16.0,17.1,17.9,19.3,19.9,21.3
8:10,106,-1.6076,15.9925,0.09951,13.1,13.6,13.8,14.5,15.0,16.0,17.2,17.9,19.3,20.0,21.4
8:11,107,-1.6199,16.0205,0.09994,13.2,13.6,13.8,14.6,15.0,16.0,17.2,17.9,19.4,20.0,21.4
9:0,108,-1.6318,16.0490,0.10038,13.2,13.6,13.9,14.6,15.1,16.0,17.2,18.0,19.5,20.1,21.5
9:1,109,-1.6433,16.0781,0.10082,13.2,13.6,13.9,14.6,15.1,16.1,17.3,18.0,19.5,20.2,21.6
9:2,110,-1.6544,16.1078,0.10126,13.2,13.7,13.9,14.6,15.1,16.1,17.3,18.1,19.6,20.2,21.7
9:3,111,-1.6651,16.1381,0.10170,13.2,13.7,13.9,14.6,15.1,16.1,17.4,18.1,19.6,20.3,21.8
9:4,112,-1.6753,16.1692,0.10214,13.2,13.7,13.9,14.7,15.1,16.2,17.4,18.2,19.7,20.4,21.9
9:5,113,-1.6851,16.2009,0.10259,13.3,13.7,14.0,14.7,15.2,16.2,17.4,18.2,19.8,20.5,22.0
9:6,114,-1.6944,16.2333,0.10303,13.3,13.7,14.0,14.7,15.2,16.2,17.5,18.3,19.8,20.5,22.1
9:7,115,-1.7032,16.2665,0.10347,13.3,13.8,14.0,14.7,15.2,16.3,17.5,18.3,19.9,20.6,22.2
9:8,116,-1.7116,16.3004,0.10391,13.3,13.8,14.0,14.8,15.3,16.3,17.6,18.4,20.0,20.7,22.3
9:9,117,-1.7196,16.3351,0.10435,13.3,13.8,14.1,14.8,15.3,16.3,17.6,18.4,20.0,20.8,22.4
9:10,118,-1.7271,16.3704,0.10478,13.4,13.8,14.1,14.8,15.3,16.4,17.7,18.5,20.1,20.8,22.5
9:11,119,-1.7341,16.4065,0.10522,13.4,13.8,14.1,14.8,15.3,16.4,17.7,18.5,20.2,20.9,22.6
10:0,120,-1.7407,16.4433,0.10566,13.4,13.9,14.1,14.9,15.4,16.4,17.7,18.6,20.2,21.0,22.7
10:1,121,-1.7468,16.4807,0.10609,13.4,13.9,14.2,14.9,15.4,16.5,17.8,18.6,20.3,21.1,22.8
10:2,122,-1.7525,16.5189,0.10652,13.4,13.9,14.2,14.9,15.4,16.5,17.8,18.7,20.4,21.1,22.9
10:3,123,-1.7578,16.5578,0.10695,13.5,13.9,14.2,15.0,15.5,16.6,17.9,18.7,20.4,21.2,23.0
10:4,124,-1.7626,16.5974,0.10738,13.5,14.0,14.2,15.0,15.5,16.6,17.9,18.8,20.5,21.3,23.1
10:5,125,-1.7670,16.6376,0.10780,13.5,14.0,14.3,15.0,15.5,16.6,18.0,18.8,20.6,21.4,23.2
10:6,126,-1.7710,16.6786,0.10823,13.5,14.0,14.3,15.1,15.6,16.7,18.0,18.9,20.7,21.5,23.3
10:7,127,-1.7745,16.7203,0.10865,13.6,14.0,14.3,15.1,15.6,16.7,18.1,19.0,20.7,21.6,23.4
10:8,128,-1.7777,16.7628,0.10906,13.6,14.1,14.3,15.1,15.6,16.8,18.1,19.0,20.8,21.6,23.5
10:9,129,-1.7804,16.8059,0.10948,13.6,14.1,14.4,15.2,15.7,16.8,18.2,19.1,20.9,21.7,23.6
10:10,130,-1.7828,16.8497,0.10989,13.6,14.1,14.4,15.2,15.7,16.9,18.2,19.1,21.0,21.8,23.7
10:11,131,-1.7847,16.8941,0.11030,13.7,14.2,14.4,15.2,15.8,16.9,18.3,19.2,21.0,21.9,23.8
11:0,132,-1.7862,16.9392,0.11070,13.7,14.2,14.5,15.3,15.8,16.9,18.4,19.3,21.1,22.0,23.9
11:1,133,-1.7873,16.9850,0.11110,13.7,14.2,14.5,15.3,15.8,17.0,18.4,19.3,21.2,22.1,24.0
11:2,134,-1.7881,17.0314,0.11150,13.8,14.3,14.5,15.3,15.9,17.0,18.5,19.4,21.3,22.2,24.1
11:3,135,-1.7884,17.0784,0.11189,13.8,14.3,14.6,15.4,15.9,17.1,18.5,19.4,21.4,22.2,24.2
11:4,136,-1.7884,17.1262,0.11228,13.8,14.3,14.6,15.4,16.0,17.1,18.6,19.5,21.4,22.3,24.4
11:5,137,-1.7880,17.1746,0.11266,13.9,14.4,14.6,15.4,16.0,17.2,18.6,19.6,21.5,22.4,24.5
11:6,138,-1.7873,17.2236,0.11304,13.9,14.4,14.7,15.5,16.0,17.2,18.7,19.6,21.6,22.5,24.6
11:7,139,-1.7861,17.2734,0.11342,13.9,14.4,14.7,15.5,16.1,17.3,18.8,19.7,21.7,22.6,24.7
11:8,140,-1.7846,17.3240,0.11379,13.9,14.5,14.7,15.6,16.1,17.3,18.8,19.8,21.8,22.7,24.8
