Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
5:  1,61,-0.8886,15.2441,0.09692,12.4,12.9,13.1,13.8,14.3,15.2,16.3,16.9,18.1,18.6,19.6
5:  2,62,-0.9068,15.2434,0.09738,12.4,12.9,13.1,13.8,14.3,15.2,16.3,16.9,18.1,18.6,19.6
5:  3,63,-0.9248,15.2433,0.09783,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.1,18.7,19.7
5:  4,64,-0.9427,15.2438,0.09829,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.7
5:  5,65,-0.9605,15.2448,0.09875,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.8
5:  6,66,-0.9780,15.2464,0.09920,12.4,12.8,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.8
5:  7,67,-0.9954,15.2487,0.09966,12.4,12.8,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.8,19.8
5:  8,68,-1.0126,15.2516,0.10012,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.8,19.9
5:  9,69,-1.0296,15.2551,0.10058,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.8,19.9
5:10,70,-1.0464,15.2592,0.10104,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.9,20.0
5:11,71,-1.0630,15.2641,0.10149,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.3,18.9,20.0
6:  0,72,-1.0794,15.2697,0.10195,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,18.9,20.1
6:  1,73,-1.0956,15.2760,0.10241,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,19.0,20.1
6:  2,74,-1.1115,15.2831,0.10287,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,19.0,20.2
6:  3,75,-1.1272,15.2911,0.10333,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.5,19.0,20.2
6:  4,76,-1.1427,15.2998,0.10379,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.5,19.1,20.3
6:  5,77,-1.1579,15.3095,0.10425,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.5,19.1,20.4
6:  6,78,-1.1728,15.3200,0.10471,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.6,19.2,20.4
6:  7,79,-1.1875,15.3314,0.10517,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.6,19.2,20.5
6:  8,80,-1.2019,15.3439,0.10562,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.3,18.6,19.3,20.5
6:  9,81,-1.2160,15.3572,0.10608,12.4,12.8,13.1,13.9,14.3,15.4,16.6,17.3,18.7,19.3,20.6
6:10,82,-1.2298,15.3717,0.10654,12.4,12.9,13.1,13.9,14.3,15.4,16.6,17.3,18.7,19.3,20.7
6:11,83,-1.2433,15.3871,0.10700,12.4,12.9,13.1,13.9,14.4,15.4,16.6,17.3,18.8,19.4,20.7
7:  0,84,-1.2565,15.4036,0.10746,12.4,12.9,13.1,13.9,14.4,15.4,16.6,17.4,18.8,19.4,20.8
7:  1,85,-1.2693,15.4211,0.10792,12.4,12.9,13.1,13.9,14.4,15.4,16.6,17.4,18.9,19.5,20.9
7:  2,86,-1.2819,15.4397,0.10837,12.4,12.9,13.2,13.9,14.4,15.4,16.7,17.4,18.9,19.6,20.9
7:  3,87,-1.2941,15.4593,0.10883,12.4,12.9,13.2,13.9,14.4,15.5,16.7,17.5,19.0,19.6,21.0
7:  4,88,-1.3060,15.4798,0.10929,12.4,12.9,13.2,13.9,14.4,15.5,16.7,17.5,19.0,19.7,21.1
7:  5,89,-1.3175,15.5014,0.10974,12.4,12.9,13.2,13.9,14.4,15.5,16.8,17.5,19.1,19.7,21.2
7:  6,90,-1.3287,15.5240,0.11020,12.5,12.9,13.2,14.0,14.5,15.5,16.8,17.6,19.1,19.8,21.2
7:  7,91,-1.3395,15.5476,0.11065,12.5,12.9,13.2,14.0,14.5,15.5,16.8,17.6,19.2,19.8,21.3
7:  8,92,-1.3499,15.5723,0.11110,12.5,13.0,13.2,14.0,14.5,15.6,16.9,17.6,19.2,19.9,21.4
7:  9,93,-1.3600,15.5979,0.11156,12.5,13.0,13.2,14.0,14.5,15.6,16.9,17.7,19.3,20.0,21.5
7:10,94,-1.3697,15.6246,0.11201,12.5,13.0,13.3,14.0,14.5,15.6,16.9,17.7,19.3,20.0,21.6
