Year: Month,Months,3rdd,15thh,Mediann,85thh,97thh
5: 1,61,101.6,105.5,110.3,115.0,118.9
5: 2,62,102.1,106.0,110.8,115.6,119.5
5: 3,63,102.6,106.5,111.3,116.2,120.1
5: 4,64,103.1,107.0,111.9,116.7,120.7
5: 5,65,103.5,107.5,112.4,117.3,121.3
5: 6,66,104.0,108.0,112.9,117.8,121.8
5: 7,67,104.4,108.5,113.4,118.4,122.4
5: 8,68,104.9,109.0,113.9,118.9,123.0
5: 9,69,105.4,109.4,114.5,119.5,123.5
5: 10,70,105.8,109.9,115.0,120.0,124.1
5: 11,71,106.2,110.4,115.5,120.5,124.7
6: 0,72,106.7,110.8,116.0,121.1,125.2
6: 1,73,107.1,111.3,116.4,121.6,125.8
6: 2,74,107.6,111.8,116.9,122.1,126.3
6: 3,75,108.0,112.2,117.4,122.6,126.9
6: 4,76,108.4,112.7,117.9,123.1,127.4
6: 5,77,108.8,113.1,118.4,123.6,127.9
6: 6,78,109.3,113.6,118.9,124.2,128.5
6: 7,79,109.7,114.0,119.4,124.7,129.0
6: 8,80,110.1,114.5,119.8,125.2,129.5
6: 9,81,110.5,114.9,120.3,125.7,130.1
6: 10,82,111.0,115.4,120.8,126.2,130.6
6: 11,83,111.4,115.8,121.3,126.7,131.1
7: 0,84,111.8,116.3,121.7,127.2,131.7
7: 1,85,112.2,116.7,122.2,127.7,132.2
7: 2,86,112.6,117.1,122.7,128.2,132.7
7: 3,87,113.0,117.6,123.1,128.7,133.3
7: 4,88,113.4,118.0,123.6,129.2,133.8
7: 5,89,113.8,118.4,124.1,129.7,134.3
7: 6,90,114.3,118.9,124.5,130.2,134.8
7: 7,91,114.7,119.3,125.0,130.7,135.3
7: 8,92,115.1,119.7,125.5,131.2,135.9
7: 9,93,115.5,120.2,125.9,131.7,136.4
7: 10,94,115.9,120.6,126.4,132.2,136.9
7: 11,95,116.2,121.0,126.8,132.6,137.4
8: 0,96,116.6,121.4,127.3,133.1,137.9
8: 1,97,117.0,121.8,127.7,133.6,138.4
8: 2,98,117.4,122.2,128.2,134.1,138.9
8: 3,99,117.8,122.7,128.6,134.6,139.4
8: 4,100,118.2,123.1,129.0,135.0,139.9
8: 5,101,118.6,123.5,129.5,135.5,140.4
8: 6,102,119.0,123.9,129.9,136.0,140.9
8: 7,103,119.3,124.3,130.4,136.4,141.4
8: 8,104,119.7,124.7,130.8,136.9,141.9
8: 9,105,120.1,125.1,131.3,137.4,142.4
8: 10,106,120.5,125.5,131.7,137.9,142.9
8: 11,107,120.9,125.9,132.1,138.3,143.4
9: 0,108,121.3,126.3,132.6,138.8,143.9
9: 1,109,121.6,126.7,133.0,139.3,144.4
9: 2,110,122.0,127.1,133.4,139.7,144.9
