Year: Month,Months,3rdd,15thh,Mediann,85thh,97thh
5: 1,61,100.6,104.7,109.6,114.5,118.6
5: 2,62,101.1,105.1,110.1,115.1,119.2
5: 3,63,101.5,105.6,110.6,115.7,119.7
5: 4,64,102.0,106.1,111.2,116.2,120.3
5: 5,65,102.4,106.6,111.7,116.8,120.9
5: 6,66,102.9,107.1,112.2,117.3,121.5
5: 7,67,103.3,107.5,112.7,117.8,122.0
5: 8,68,103.8,108.0,113.2,118.4,122.6
5: 9,69,104.2,108.5,113.7,118.9,123.1
5: 10,70,104.6,108.9,114.2,119.4,123.7
5: 11,71,105.1,109.4,114.6,119.9,124.2
6: 0,72,105.5,109.8,115.1,120.4,124.8
6: 1,73,105.9,110.3,115.6,120.9,125.3
6: 2,74,106.3,110.7,116.1,121.4,125.8
6: 3,75,106.8,111.2,116.6,122.0,126.4
6: 4,76,107.2,111.6,117.0,122.5,126.9
6: 5,77,107.6,112.0,117.5,123.0,127.4
6: 6,78,108.0,112.5,118.0,123.5,127.9
6: 7,79,108.4,112.9,118.4,124.0,128.5
6: 8,80,108.9,113.4,118.9,124.5,129.0
6: 9,81,109.3,113.8,119.4,125.0,129.5
6: 10,82,109.7,114.3,119.9,125.5,130.0
6: 11,83,110.1,114.7,120.3,126.0,130.6
7: 0,84,110.5,115.1,120.8,126.5,131.1
7: 1,85,110.9,115.6,121.3,127.0,131.6
7: 2,86,111.4,116.0,121.8,127.5,132.1
7: 3,87,111.8,116.5,122.2,128.0,132.7
7: 4,88,112.2,116.9,122.7,128.5,133.2
7: 5,89,112.6,117.4,123.2,129.0,133.7
7: 6,90,113.1,117.8,123.7,129.5,134.3
7: 7,91,113.5,118.3,124.1,130.0,134.8
7: 8,92,113.9,118.7,124.6,130.5,135.3
7: 9,93,114.4,119.2,125.1,131.0,135.9
7: 10,94,114.8,119.6,125.6,131.5,136.4
7: 11,95,115.2,120.1,126.1,132.1,136.9
8: 0,96,115.7,120.5,126.6,132.6,137.5
8: 1,97,116.1,121.0,127.0,133.1,138.0
8: 2,98,116.5,121.5,127.5,133.6,138.5
8: 3,99,117.0,121.9,128.0,134.1,139.1
8: 4,100,117.4,122.4,128.5,134.6,139.6
8: 5,101,117.9,122.9,129.0,135.2,140.2
8: 6,102,118.3,123.3,129.5,135.7,140.7
8: 7,103,118.7,123.8,130.0,136.2,141.2
8: 8,104,119.2,124.3,130.5,136.7,141.8
8: 9,105,119.6,124.7,131.0,137.2,142.3
8: 10,106,120.1,125.2,131.5,137.8,142.9
8: 11,107,120.5,125.7,132.0,138.3,143.4
9: 0,108,121.0,126.2,132.5,138.8,144.0
9: 1,109,121.5,126.6,133.0,139.4,144.5
9: 2,110,121.9,127.1,133.5,139.9,145.1
9: 3,111,122.4,127.6,134.0,140.4,145.6
9: 4,112,122.8,128.1,134.5,141.0,146.2
9: 5,113,123.3,128.6,135.0,141.5,146.8
9: 6,114,123.8,129.1,135.5,142.0,147.3
9: 7,115,124.2,129.5,136.1,142.6,147.9
9: 8,116,124.7,130.0,136.6,143.1,148.4
9: 9,117,125.2,130.5,137.1,143.6,149.0
9: 10,118,125.7,131.0,137.6,144.2,149.5
9: 11,119,126.1,131.5,138.1,144.7,150.1
10: 0,120,126.6,132.0,138.6,145.3,150.7
10: 1,121,127.1,132.5,139.2,145.8,151.2
10: 2,122,127.6,133.0,139.7,146.4,151.8
10: 3,123,128.1,133.5,140.2,146.9,152.4
10: 4,124,128.5,134.0,140.7,147.5,152.9
10: 5,125,129.0,134.5,141.3,148.0,153.5
10: 6,126,129.5,135.0,141.8,148.6,154.1
10: 7,127,130.0,135.5,142.3,149.1,154.6
10: 8,128,130.5,136.0,142.9,149.7,155.2
10: 9,129,131.0,136.6,143.4,150.2,155.8
10: 10,130,131.5,137.1,143.9,150.8,156.3
10: 11,131,132.0,137.6,144.5,151.3,156.9
11: 0,132,132.5,138.1,145.0,151.9,157.5
11: 1,133,133.0,138.6,145.5,152.4,158.1
11: 2,134,133.5,139.1,146.1,153.0,158.6
11: 3,135,134.0,139.7,146.6,153.5,159.2
11: 4,136,134.5,140.2,147.1,154.1,159.8
11: 5,137,135.0,140.7,147.7,154.6,160.3
11: 6,138,135.5,141.2,148.2,155.2,160.9
11: 7,139,136.0,141.7,148.7,155.7,161.4
11: 8,140,136.5,142.2,149.2,156.3,162.0
11: 9,141,136.9,142.7,149.7,156.8,162.5
11: 10,142,137.4,143.2,150.2,157.3,163.1
11: 11,143,137.9,143.7,150.7,157.8,163.6
12: 0,144,138.4,144.1,151.2,158.3,164.1
12: 1,145,138.8,144.6,151.7,158.8,164.6
12: 2,146,139.3,145.1,152.2,159.3,165.1
12: 3,147,139.7,145.5,152.7,159.8,165.6
12: 4,148,140.2,146.0,153.1,160.3,166.1
12: 5,149,140.6,146.4,153.6,160.7,166.5
12: 6,150,141.0,146.8,154.0,161.2,167.0
12: 7,151,141.4,147.3,154.4,161.6,167.4
12: 8,152,141.8,147.7,154.8,162.0,167.9
12: 9,153,142.2,148.1,155.2,162.4,168.3
12: 10,154,142.6,148.4,155.6,162.8,168.7
12: 11,155,143.0,148.8,156.0,163.2,169.1
13: 0,156,143.3,149.2,156.4,163.6,169.4
13: 1,157,143.7,149.5,156.7,163.9,169.8
13: 2,158,144.0,149.9,157.1,164.3,170.1
13: 3,159,144.3,150.2,157.4,164.6,170.5
13: 4,160,144.6,150.5,157.7,164.9,170.8
13: 5,161,144.9,150.8,158.0,165.2,171.1
13: 6,162,145.2,151.1,158.3,165.5,171.4
13: 7,163,145.5,151.4,158.6,165.8,171.7
13: 8,164,145.8,151.6,158.8,166.0,171.9
13: 9,165,146.0,151.9,159.1,166.3,172.2
13: 10,166,146.3,152.1,159.3,166.5,172.4
13: 11,167,146.5,152.4,159.6,166.8,172.6
14: 0,168,146.7,152.6,159.8,167.0,172.8
14: 1,169,146.9,152.8,160.0,167.2,173.0
14: 2,170,147.2,153.0,160.2,167.4,173.2
14: 3,171,147.3,153.2,160.4,167.6,173.4
14: 4,172,147.5,153.4,160.6,167.7,173.6
14: 5,173,147.7,153.6,160.7,167.9,173.8
14: 6,174,147.9,153.7,160.9,168.1,173.9
14: 7,175,148.0,153.9,161.0,168.2,174.0
14: 8,176,148.2,154.0,161.2,168.3,174.2
14: 9,177,148.3,154.2,161.3,168.5,174.3
14: 10,178,148.5,154.3,161.4,168.6,174.4
