Year: Month,Month,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
5:  1,61,-0.4681,18.2579,0.14295,12.4,14.0,15.9,18.3,21.2,24.8,29.5
5:  2,62,-0.4711,18.4329,0.14350,12.5,14.1,16.0,18.4,21.4,25.1,29.8
5:  3,63,-0.4742,18.6073,0.14404,12.6,14.2,16.2,18.6,21.6,25.4,30.2
5:  4,64,-0.4773,18.7811,0.14459,12.7,14.3,16.3,18.8,21.8,25.6,30.5
5:  5,65,-0.4803,18.9545,0.14514,12.8,14.4,16.5,19.0,22.0,25.9,30.9
5:  6,66,-0.4834,19.1276,0.14569,12.9,14.6,16.6,19.1,22.2,26.2,31.3
5:  7,67,-0.4864,19.3004,0.14624,13.0,14.7,16.8,19.3,22.5,26.5,31.6
5:  8,68,-0.4894,19.4730,0.14679,13.1,14.8,16.9,19.5,22.7,26.7,32.0
5:  9,69,-0.4924,19.6455,0.14735,13.2,14.9,17.0,19.6,22.9,27.0,32.3
5:10,70,-0.4954,19.8180,0.14790,13.3,15.0,17.2,19.8,23.1,27.3,32.7
5:11,71,-0.4984,19.9908,0.14845,13.4,15.2,17.3,20.0,23.3,27.6,33.1
6:  0,72,-0.5013,20.1639,0.14900,13.5,15.3,17.5,20.2,23.5,27.8,33.4
6:  1,73,-0.5043,20.3377,0.14955,13.6,15.4,17.6,20.3,23.8,28.1,33.8
6:  2,74,-0.5072,20.5124,0.15010,13.7,15.5,17.8,20.5,24.0,28.4,34.2
6:  3,75,-0.5100,20.6885,0.15065,13.8,15.6,17.9,20.7,24.2,28.7,34.6
6:  4,76,-0.5129,20.8661,0.15120,13.9,15.8,18.0,20.9,24.4,29.0,35.0
6:  5,77,-0.5157,21.0457,0.15175,14.0,15.9,18.2,21.0,24.6,29.3,35.4
6:  6,78,-0.5185,21.2274,0.15230,14.1,16.0,18.3,21.2,24.9,29.6,35.8
6:  7,79,-0.5213,21.4113,0.15284,14.2,16.1,18.5,21.4,25.1,29.9,36.2
